run,agent,target,seed,start_time_utc,end_time_utc,duration_seconds,duration_hms,run_id,coverage,path_efficiency,recon_precision,recon_recall,safety_score,stealth_score
run_web_cluster_artp_seed42_20251022T104643Z,artp,web_cluster,42,2025-10-22T10:46:43Z,2025-10-22T10:46:43Z,0,00:00:00,run_web_cluster_artp_seed42_20251022T104643Z,0.39999999999999997,0.75,0.8,0.7,1.0,0.9
run_web_cluster_artp_seed42_20251022T104923Z,artp,web_cluster,42,2025-10-22T10:49:23Z,2025-10-22T10:49:23Z,0,00:00:00,run_web_cluster_artp_seed42_20251022T104923Z,0.39999999999999997,0.75,0.8,0.7,1.0,0.9
run_web_cluster_artp_seed42_20251022T105048Z,artp,web_cluster,42,2025-10-22T10:50:48Z,2025-10-22T10:50:48Z,0,00:00:00,run_web_cluster_artp_seed42_20251022T105048Z,0.39999999999999997,0.75,0.8,0.7,1.0,0.9
run_web_cluster_artp_seed42_20251022T105052Z,artp,web_cluster,42,2025-10-22T10:50:52Z,2025-10-22T10:50:52Z,0,00:00:00,run_web_cluster_artp_seed42_20251022T105052Z,0.39999999999999997,0.75,0.8,0.7,1.0,0.9
run_web_cluster_artp_seed42_20251022T105238Z,artp,web_cluster,42,2025-10-22T10:52:38Z,2025-10-22T10:52:38Z,0,00:00:00,run_web_cluster_artp_seed42_20251022T105238Z,0.39999999999999997,0.75,0.8,0.7,1.0,0.9
run_web_cluster_artp_seed42_20251022T105240Z,artp,web_cluster,42,2025-10-22T10:52:40Z,2025-10-22T10:52:41Z,1,00:00:01,run_web_cluster_artp_seed42_20251022T105240Z,0.39999999999999997,0.75,0.8,0.7,1.0,0.9
run_web_cluster_artp_seed42_20251022T105246Z,artp,web_cluster,42,2025-10-22T10:52:46Z,2025-10-22T10:52:46Z,0,00:00:00,run_web_cluster_artp_seed42_20251022T105246Z,0.39999999999999997,0.75,0.8,0.7,1.0,0.9
run_web_cluster_artp_seed42_20251022T105249Z,artp,web_cluster,42,2025-10-22T10:52:49Z,2025-10-22T10:52:49Z,0,00:00:00,run_web_cluster_artp_seed42_20251022T105249Z,0.39999999999999997,0.75,0.8,0.7,1.0,0.9
run_web_cluster_artp_seed42_20251022T105251Z,artp,web_cluster,42,2025-10-22T10:52:51Z,2025-10-22T10:52:51Z,0,00:00:00,run_web_cluster_artp_seed42_20251022T105251Z,0.39999999999999997,0.75,0.8,0.7,1.0,0.9
run_web_cluster_artp_seed42_20251022T105252Z,artp,web_cluster,42,2025-10-22T10:52:52Z,2025-10-22T10:52:52Z,0,00:00:00,run_web_cluster_artp_seed42_20251022T105252Z,0.39999999999999997,0.75,0.8,0.7,1.0,0.9
